"Partial Shipping","Partial Shipping"
"Logging Enabled","Logging Enabled"
"Product Attribute used for Shipment Grouping","Product Attribute used for Shipment Grouping"
"Minimum Shipment Groups","Minimum Shipment Groups"
"The minimum number of shipment groups required for partial shipping to become available. Shipment groups are created with the above attribute.","The minimum number of shipment groups required for partial shipping to become available. Shipment groups are created with the above attribute."
"Shipping Rates","Shipping Rates"
"Dest. Country","Dest. Country"
"Price From","Price from (>=)"
"Price To","Price to (<)"
"Shipping Cost","Shipping Cost"
"Fallback Shipping Rate","Fallback Shipping Rate"
"Fallback shipping rate in case no shipping rate is found via the above shipping rate table.","Fallback shipping rate in case no shipping rate is found via the above shipping rate table."
"%s single delivery","%s single delivery"
"%s single deliveries","%s single deliveries"
